,year,month,weeknum,weekday,freq_complian,freq_motor
758,2014,11,45,4,1349,652
759,2014,1,5,2,1325,504
760,2009,7,31,5,1468,
761,2010,6,23,3,1386,
762,2012,6,24,6,1343,
763,2014,6,25,3,1569,663
764,2014,10,41,5,1375,541
765,2007,10,40,5,1698,
766,2010,1,1,4,1581,
767,2007,1,2,2,1596,
768,2013,4,17,2,1353,513
769,2008,1,3,4,1543,
770,2015,9,37,3,1490,740
771,2009,8,35,2,1630,
772,2011,12,49,2,1374,
773,2008,2,6,4,1552,
774,2007,4,15,6,1360,
775,2013,11,46,6,1442,612
776,2009,12,50,7,1084,
777,2008,8,33,7,1363,
778,2007,5,18,2,1652,
779,2012,1,52,7,1312,
780,2008,12,50,6,1316,
781,2011,12,50,3,1433,
782,2013,9,37,3,1492,577
783,2013,5,20,4,1532,559
784,2013,3,13,3,1355,441
785,2010,4,16,4,1595,
786,2007,1,5,1,1333,
787,2012,3,9,4,1371,
788,2009,3,10,6,1457,
789,2008,10,40,4,1554,
790,2013,9,36,4,1529,493
791,2011,4,16,1,1364,
792,2014,12,49,1,1349,644
793,2013,12,49,4,1511,573
794,2014,8,34,4,1513,567
795,2012,2,9,1,1358,
796,2007,10,42,1,1501,
797,2010,4,15,5,1521,
798,2009,2,7,2,1467,
799,2006,5,22,3,1631,
800,2014,9,37,6,1282,558
801,2010,11,47,6,1292,
802,2012,1,5,2,1543,
803,2011,6,25,6,1443,
804,2011,4,15,4,1609,
805,2008,6,25,7,1275,
806,2014,11,44,7,1101,532
807,2014,6,26,2,1471,632
808,2011,8,31,2,1495,
809,2015,1,5,3,1153,458
810,2015,2,8,7,945,519
811,2014,10,42,4,1519,602
812,2013,4,16,5,1425,570
813,2006,9,35,6,1109,
814,2009,1,2,2,1481,
815,2010,7,27,4,1544,
816,2009,8,34,1,1555,
817,2012,6,25,1,1488,
818,2008,2,7,7,1114,
819,2010,6,24,4,1591,
820,2007,4,14,5,1329,
821,2008,5,21,4,1539,
822,2011,10,42,1,1357,
823,2006,3,11,4,1537,
824,2006,7,27,4,1609,
825,2011,10,39,6,1253,
826,2008,11,45,4,1495,
827,2009,10,42,7,1123,
828,2015,3,13,7,1103,505
829,2010,11,45,4,1423,
830,2012,12,49,3,1429,514
831,2006,2,5,5,1536,
832,2008,5,22,1,1164,
833,2012,9,38,3,1518,612
834,2006,8,34,2,1615,
835,2010,4,14,2,1475,
836,2007,9,35,7,1281,
837,2012,11,48,1,1314,563
838,2006,10,42,6,1367,
839,2012,2,6,2,1459,
840,2014,12,1,3,875,460
841,2014,2,5,7,1237,417
842,2007,3,13,3,1624,
843,2011,5,19,1,1467,
844,2010,11,46,1,1444,
845,2007,5,21,7,1173,
846,2012,1,4,1,1425,
847,2007,8,32,3,1565,
848,2014,9,36,5,1527,647
849,2011,6,24,5,1445,
850,2012,5,20,1,1370,
851,2010,4,13,5,1358,
852,2010,6,25,7,1220,
853,2010,10,39,7,1246,
854,2013,11,45,3,1458,635
855,2014,10,43,5,1511,669
856,2006,5,18,1,1637,
857,2013,11,48,4,781,429
858,2009,1,3,1,1290,
859,2009,9,37,7,1299,
860,2008,12,49,1,1449,
861,2011,7,30,6,1339,
862,2013,6,26,3,1561,621
863,2007,6,26,3,1608,
864,2007,2,7,2,1478,
865,2008,5,20,5,1418,
866,2015,7,29,1,1489,667
867,2011,4,17,6,1272,
868,2012,1,2,7,957,
869,2012,7,30,5,1494,637
870,2012,2,8,2,1298,
871,2009,7,28,2,1516,
872,2014,3,12,1,1255,519
873,2010,9,37,6,1438,
874,2010,11,44,5,1531,
875,2006,2,6,6,1284,
876,2014,9,38,1,1491,609
877,2012,5,22,1,1090,
878,2008,4,14,2,1583,
879,2011,3,11,1,1381,
880,2010,4,15,1,1428,
881,2007,11,47,1,1368,
882,2007,10,40,1,1658,
883,2011,10,43,2,1474,
884,2011,6,26,1,1477,
885,2014,8,31,7,1280,476
886,2006,8,35,1,1535,
887,2009,11,45,7,1278,
888,2012,7,31,2,1540,540
889,2011,6,23,6,1287,
890,2010,8,35,1,1445,
891,2015,12,51,6,1262,624
892,2008,3,13,4,1630,
893,2007,10,43,6,1285,
894,2009,12,50,3,1368,
895,2010,5,20,7,1274,
896,2014,1,2,3,1297,616
897,2012,7,28,3,1559,565
898,2006,4,17,1,1494,
899,2013,9,37,7,1324,476
900,2010,9,39,4,1555,
901,2006,12,48,6,1358,
902,2007,2,6,1,1234,
903,2015,12,52,5,797,321
904,2007,11,47,5,1283,
905,2008,9,38,7,1280,
906,2006,3,10,7,1174,
907,2009,10,43,4,1577,
908,2015,3,12,4,1320,582
909,2010,12,51,7,568,
910,2011,1,1,3,1462,
911,2009,7,29,1,1483,
912,2012,2,7,1,1354,
913,2010,9,36,1,1243,
914,2009,2,7,6,1227,
915,2012,6,26,6,1324,
916,2010,8,32,4,1506,
917,2010,11,47,2,1520,
918,2008,1,1,2,1439,
919,2006,8,31,7,1284,
920,2008,4,17,3,1502,
921,2006,7,29,2,1639,
922,2008,6,25,3,1598,
923,2006,8,32,6,1433,
924,2012,5,21,6,1394,
925,2010,4,17,3,1552,
926,2014,1,4,5,1273,705
927,2015,12,49,4,1305,623
928,2007,11,44,6,1356,
929,2006,5,19,6,1309,
930,2013,8,35,4,1459,572
931,2007,1,3,5,1554,
932,2006,1,52,7,1376,
933,2009,5,19,3,1596,
934,2015,12,50,1,1300,668
935,2008,7,30,3,1725,
936,2010,3,12,5,1560,
937,2007,4,14,1,1397,
938,2015,7,28,2,1531,646
939,2014,7,29,4,1451,587
940,2013,12,51,2,1220,703
941,2010,9,38,5,1657,
942,2014,3,13,6,1154,569
943,2008,12,51,1,1374,
944,2014,9,39,6,1414,600
945,2008,10,41,3,1551,
946,2008,5,22,5,1577,
947,2014,7,30,1,1439,557
948,2010,5,21,4,1512,
949,2014,8,35,7,1187,495
950,2014,5,18,7,1226,451
951,2007,10,41,2,1729,
952,2006,12,51,3,1549,
953,2010,11,46,5,1518,
954,2011,8,31,6,1300,
955,2009,2,6,5,1355,
956,2007,2,5,4,1484,
957,2014,9,36,1,1291,392
958,2010,3,10,3,1591,
959,2006,7,28,1,1647,
960,2011,6,24,1,1471,
961,2006,8,33,1,1686,
962,2007,11,46,2,1599,
963,2014,3,14,1,1261,559
964,2011,2,6,5,1463,
965,2011,11,45,7,1209,
966,2007,11,45,1,1582,
967,2007,4,17,2,1672,
968,2009,1,3,5,1316,
969,2009,9,37,3,1463,
970,2010,8,34,2,1450,
971,2008,8,32,4,1682,
972,2013,8,34,7,1296,459
973,2006,4,16,2,1519,
974,2011,7,30,2,1551,
975,2010,6,26,2,1579,
976,2009,8,33,4,1625,
977,2015,12,53,2,1221,533
978,2010,3,9,2,1492,
979,2008,4,15,1,1476,
980,2014,7,28,5,1421,641
981,2007,1,4,6,1302,
982,2010,4,14,6,1283,
983,2012,7,27,4,1693,591
984,2008,8,35,1,1519,
985,2013,12,50,1,1324,639
986,2010,8,33,5,1498,
987,2011,3,10,2,1488,
988,2010,9,37,2,1435,
989,2006,7,26,7,1251,
990,2008,3,11,2,1571,
991,2010,1,4,7,1032,
992,2008,11,44,7,1223,
993,2011,3,10,6,1419,
994,2011,3,11,5,1496,
995,2010,6,22,4,1599,
996,2009,1,5,3,1182,
997,2012,2,7,5,1526,
998,2007,12,52,7,1199,
999,2010,6,23,7,1227,
1000,2009,4,15,2,1518,
1001,2015,2,9,4,1243,539
1002,2011,1,2,6,1296,
1003,2013,8,31,6,1427,492
1004,2014,10,41,1,1452,639
1005,2009,2,9,6,1292,
1006,2012,6,23,3,1553,
1007,2013,4,17,6,1364,517
1008,2009,6,24,5,1518,
1009,2014,4,15,3,1449,595
1010,2010,12,52,2,826,
1011,2015,12,51,2,1457,752
1012,2013,12,52,7,1125,394
1013,2011,10,40,7,1209,
1014,2007,4,16,1,1400,
1015,2012,3,12,7,1161,
1016,2007,4,15,2,1465,
1017,2011,9,39,3,1521,
1018,2014,1,2,7,1258,388
1019,2014,12,50,4,1299,668
1020,2012,2,6,6,1305,
1021,2011,3,13,3,1455,
1022,2015,7,27,7,1315,467
1023,2008,6,23,7,1273,
1024,2006,2,8,4,1467,
1025,2009,8,32,7,1351,
1026,2014,7,31,2,1603,526
1027,2007,12,52,3,1412,
1028,2009,7,29,5,1535,
1029,2014,9,37,2,1430,591
1030,2010,9,36,5,1484,
1031,2008,3,10,1,1457,
1032,2012,6,26,2,1427,
1033,2011,5,18,6,1235,
1034,2014,10,40,6,1278,531
1035,2011,4,14,7,1200,
1036,2007,8,33,4,1624,
1037,2007,3,12,4,1581,
1038,2008,2,8,6,1227,
1039,2006,2,7,1,1093,
1040,2011,6,25,2,1590,
1041,2011,2,7,2,1439,
1042,2014,1,4,1,1300,360
1043,2013,5,19,3,1370,620
1044,2015,10,44,3,1135,689
1045,2008,4,18,2,1460,
1046,2010,8,31,7,1323,
1047,2008,1,2,7,1274,
1048,2010,5,19,2,1470,
1049,2006,7,30,7,1303,
1050,2013,4,16,1,1324,603
1051,2009,1,2,6,1136,
1052,2015,9,38,6,1433,655
1053,2015,12,50,5,1461,694
1054,2011,12,48,5,1459,
1055,2008,7,30,7,1322,
1056,2006,6,24,4,1608,
1057,2013,5,22,2,1449,686
1058,2011,1,52,6,1376,
1059,2009,7,27,5,1516,
1060,2008,3,12,7,1088,
1061,2009,10,41,2,1673,
1062,2012,1,3,4,1347,
1063,2008,8,34,2,1689,
1064,2007,5,19,1,1592,
1065,2012,9,37,6,1410,557
1066,2014,12,51,7,911,409
1067,2011,7,28,6,1391,
1068,2008,7,27,6,1365,
1069,2013,5,21,5,1433,668
1070,2008,10,41,7,1222,
1071,2015,3,13,3,1304,538
1072,2014,7,30,5,1489,653
1073,2013,12,48,7,1192,420
1074,2006,8,34,6,1375,
1075,2007,10,41,6,1404,
1076,2012,11,48,5,1438,576
1077,2009,7,30,4,1438,
1078,2007,11,46,6,1377,
1079,2009,2,6,1,1397,
1080,2014,5,19,4,1426,596
1081,2008,2,9,1,1361,
1082,2007,1,1,3,1667,
1083,2007,8,32,7,1347,
1084,2009,6,25,2,1620,
1085,2011,11,45,3,1586,
1086,2009,12,51,4,1294,
1087,2013,6,25,6,1405,599
1088,2006,1,3,6,1428,
1089,2006,11,46,2,1646,
1090,2014,5,20,6,1368,618
1091,2007,7,28,3,1640,
1092,2012,8,31,4,1550,570
1093,2013,4,14,4,1322,566
1094,2011,11,44,7,1120,
1095,2009,12,52,6,938,
1096,2007,9,38,3,1737,
1097,2015,8,32,4,1639,629
1098,2007,9,37,6,1474,
1099,2011,9,37,6,1250,
1100,2007,12,49,3,1471,
1101,2007,11,48,5,1484,
1102,2009,1,2,7,1002,
1103,2010,10,43,2,1653,
1104,2011,5,21,4,1512,
1105,2013,9,39,6,1436,547
1106,2011,5,21,2,1637,
1107,2009,9,37,2,1594,
1108,2013,5,22,3,1322,574
1109,2015,1,2,3,1027,538
1110,2011,1,52,7,985,
1111,2015,12,51,3,1296,673
1112,2013,7,27,4,1200,438
1113,2008,10,42,5,1560,
1114,2010,8,32,5,1499,
1115,2013,1,5,2,1360,542
1116,2009,3,13,2,1453,
1117,2013,8,34,6,1428,527
1118,2015,5,21,6,1246,546
1119,2006,1,4,2,1632,
1120,2007,6,24,2,1659,
1121,2010,10,41,2,1611,
1122,2008,10,41,6,1404,
1123,2013,7,30,5,1456,617
1124,2006,9,37,1,1627,
1125,2011,3,10,7,1171,
1126,2010,12,48,7,1061,
1127,2007,10,41,7,1274,
1128,2012,11,48,4,1438,515
1129,2009,7,30,5,1448,
1130,2011,7,27,4,1503,
1131,2012,2,6,7,1049,
1132,2006,5,21,7,1212,
1133,2008,11,47,7,1107,
1134,2009,9,38,7,1197,
1135,2007,8,32,6,1396,
1136,2012,12,52,1,973,518
1137,2007,7,29,6,1404,
1138,2015,6,24,6,1271,395
1139,2011,11,45,2,1421,
1140,2015,8,35,1,1510,575
1141,2012,1,1,7,1124,
1142,2009,4,18,4,1552,
1143,2014,3,11,7,1226,412
1144,2008,12,49,4,1406,
1145,2013,9,36,1,1274,431
1146,2011,11,48,3,1482,
1147,2013,2,7,7,1071,447
1148,2008,7,29,1,1497,
1149,2012,8,34,5,1575,601
1150,2007,1,4,3,1612,
1151,2012,11,45,5,1306,688
1152,2006,9,39,5,1590,
1153,2006,9,39,3,1718,
1154,2015,2,7,3,1307,610
1155,2012,4,17,4,1361,
1156,2006,10,44,1,1575,
1157,2010,10,42,3,1639,
1158,2012,4,17,2,1409,
1159,2014,11,48,4,662,378
1160,2013,4,15,5,1340,649
1161,2014,5,21,5,1432,660
1162,2015,6,25,5,1433,732
1163,2006,9,36,2,1549,
1164,2013,4,15,3,1498,580
1165,2014,2,6,7,1112,450
1166,2014,8,32,7,1374,512
1167,2015,8,33,5,1584,728
1168,2007,10,40,4,1679,
1169,2015,8,33,3,1594,643
1170,2007,8,35,5,1585,
1171,2013,4,17,3,1555,598
1172,2009,9,39,2,1634,
1173,2014,5,18,6,1347,590
1174,2013,10,40,4,1610,589
1175,2011,5,20,1,1379,
1176,2013,9,38,3,1501,571
1177,2014,2,9,4,1259,571
1178,2011,5,20,7,1173,
1179,2008,9,37,7,1349,
1180,2007,4,15,7,946,
1181,2014,2,9,2,1385,512
1182,2015,10,42,4,1530,682
1183,2015,8,34,2,1505,623
1184,2009,12,50,6,1302,
1185,2009,4,17,1,1206,
1186,2013,8,33,3,1658,622
1187,2014,12,1,2,1085,468
1188,2009,3,12,1,1412,
1189,2013,3,11,4,1390,557
1190,2010,10,40,1,1302,
1191,2013,5,20,5,1492,741
1192,2007,6,25,7,1395,
1193,2007,3,11,6,903,
1194,2015,11,46,1,1381,615
1195,2013,7,29,2,1477,582
1196,2008,6,26,1,1530,
1197,2008,11,48,4,768,
1198,2007,3,12,1,1345,
1199,2012,4,15,2,1370,
1200,2006,5,22,2,1785,
1201,2010,1,3,7,1180,
1202,2014,9,37,7,1236,526
1203,2012,4,15,4,1339,
1204,2011,6,25,7,1286,
1205,2009,5,20,3,1723,
1206,2009,5,20,5,1574,
1207,2011,1,4,1,1096,
1208,2014,11,44,6,1207,656
1209,2006,12,49,4,1528,
1210,2015,4,16,6,1355,605
1211,2013,3,11,2,1301,547
1212,2014,10,42,5,1615,648
1213,2013,8,35,1,1427,521
1214,2011,8,33,3,1601,
1215,2011,6,22,4,1513,
1216,2013,10,43,1,1445,616
1217,2009,11,48,5,1256,
1218,2015,1,3,2,1344,613
1219,2012,5,22,4,1516,
1220,2009,12,49,5,1484,
1221,2015,1,3,4,1331,546
1222,2012,3,11,7,1329,
1223,2007,12,50,6,1390,
1224,2007,4,14,4,1365,
1225,2009,4,16,2,1324,
1226,2011,3,11,4,1455,
1227,2008,5,21,5,1631,
1228,2007,2,8,6,1292,
1229,2013,8,32,6,1351,495
1230,2006,12,52,3,1481,
1231,2006,12,52,5,1450,
1232,2012,4,16,1,1455,
1233,2012,11,46,6,1182,542
1234,2012,4,16,7,1104,
1235,2014,5,22,6,1358,587
1236,2015,3,13,6,1171,459
1237,2010,11,45,5,1546,
1238,2013,10,44,4,1513,615
1239,2013,7,30,3,1596,571
1240,2015,10,41,1,1357,596
1241,2012,7,27,5,1457,638
1242,2009,5,22,1,1184,
1243,2010,4,14,3,1536,
1244,2007,9,35,6,1408,
1245,2011,11,46,7,1176,
1246,2013,2,9,3,1342,550
1247,2006,10,43,4,1629,
1248,2012,10,44,1,423,298
1249,2015,11,48,7,1122,453
1250,2015,11,48,1,1266,703
1251,2009,9,38,1,1395,
1252,2013,10,41,5,1546,621
1253,2014,9,36,4,1521,727
1254,2009,5,21,4,1564,
1255,2012,8,33,2,1550,520
1256,2013,10,41,3,1540,529
1257,2014,11,47,5,1299,677
1258,2007,11,47,4,831,
1259,2015,10,43,5,1377,742
1260,2013,2,8,4,1403,498
1261,2014,2,8,1,1060,491
1262,2015,10,43,3,1493,720
1263,2008,10,42,3,1736,
1264,2014,2,8,7,1240,414
1265,2011,11,47,4,751,
1266,2006,4,14,1,1423,
1267,2015,11,47,2,1407,684
1268,2015,11,45,2,1323,655
1269,2015,9,39,4,1331,619
1270,2013,10,42,2,1514,615
1271,2009,11,46,7,1223,
1272,2011,7,30,7,1257,
1273,2011,5,22,1,1126,
1274,2007,6,26,2,1715,
1275,2008,7,29,7,1301,
1276,2012,8,34,3,1525,504
1277,2008,10,43,6,1403,
1278,2011,9,36,5,1377,
1279,2013,7,28,1,1410,616
1280,2013,3,10,5,1197,851
1281,2013,3,10,3,1277,475
1282,2009,7,28,3,1577,
1283,2012,4,14,5,1374,
1284,2009,6,23,5,1321,
1285,2010,2,7,6,1321,
1286,2006,11,44,4,1530,
1287,2015,3,10,5,1180,936
1288,2008,6,24,7,1133,
1289,2012,5,18,4,1530,
1290,2008,12,52,1,1245,
1291,2008,6,24,1,1420,
1292,2015,6,26,6,1262,594
1293,2008,12,52,7,1216,
1294,2011,11,47,2,1417,
1295,2013,1,1,4,1369,549
1296,2006,5,20,4,1591,
1297,2015,4,17,3,1489,568
1298,2007,8,35,3,1613,
1299,2007,9,36,5,1622,
1300,2009,9,39,4,1596,
1301,2014,3,9,7,1110,344
1302,2007,2,9,3,1645,
1303,2015,1,2,5,1074,751
1304,2013,9,38,5,1591,631
1305,2013,2,5,7,975,445
1306,2012,11,47,3,1341,689
1307,2012,8,32,1,1457,593
1308,2007,9,39,6,1552,
1309,2007,3,9,6,1292,
1310,2015,6,23,7,1195,559
1311,2013,1,4,3,1172,545
1312,2014,1,2,2,1091,491
1313,2014,3,10,4,1367,558
1314,2013,1,4,5,1259,674
1315,2007,8,31,7,1328,
1316,2013,9,37,6,1341,519
1317,2013,2,6,4,1313,526
1318,2006,9,38,2,1635,
1319,2007,12,52,6,1329,
1320,2011,7,26,7,1171,
1321,2014,4,16,3,1407,570
1322,2008,11,48,2,1504,
1323,2009,2,7,7,1090,
1324,2007,7,30,5,1618,
1325,2012,4,18,1,1519,
1326,2010,10,43,4,1636,
1327,2010,11,47,3,1440,
1328,2007,8,33,1,1597,
1329,2012,12,51,4,1399,606
1330,2014,6,23,6,1283,622
1331,2006,2,5,4,1604,
1332,2013,4,14,2,1228,437
1333,2008,6,25,2,1681,
1334,2015,3,11,6,1215,507
1335,2012,10,43,6,1305,524
1336,2014,1,4,4,1164,612
1337,2015,12,49,5,1392,680
1338,2009,2,8,4,1404,
1339,2015,8,32,2,1476,666
1340,2011,8,32,6,1394,
1341,2009,9,36,7,1276,
1342,2007,8,34,6,1421,
1343,2014,12,52,7,939,349
1344,2012,10,40,3,1553,502
1345,2014,4,17,6,1374,548
1346,2013,11,47,4,1453,628
1347,2006,8,34,7,1134,
1348,2008,7,30,2,1636,
1349,2009,12,49,3,1540,
1350,2012,5,19,7,1156,
1351,2007,7,27,6,1357,
1352,2015,11,45,4,1453,690
1353,2011,8,34,6,907,
1354,2014,7,29,5,1443,624
1355,2013,1,5,4,1431,592
1356,2007,10,44,2,1603,
1357,2007,6,24,4,1711,
1358,2015,5,19,6,1266,560
1359,2010,2,6,3,740,
1360,2009,1,4,7,1038,
1361,2007,3,13,6,1299,
1362,2012,5,19,1,1356,
1363,2009,1,4,1,1018,
1364,2011,11,46,1,1382,
1365,2006,4,15,2,1574,
1366,2011,7,27,2,1743,
1367,2011,9,35,6,1363,
1368,2006,5,21,1,1580,
1369,2011,8,31,7,1234,
1370,2009,2,6,4,1285,
1371,2007,12,51,5,1588,
1372,2007,3,10,5,1493,
1373,2014,5,19,1,1395,618
1374,2008,10,44,3,1471,
1375,2009,5,21,2,1510,
1376,2010,7,29,7,1243,
1377,2014,11,47,3,1248,633
1378,2014,10,40,3,1445,559
1379,2009,12,51,1,1369,
1380,2011,9,38,1,1308,
1381,2007,12,48,6,1282,
1382,2009,1,3,4,1284,
1383,2009,4,18,2,1541,
1384,2014,1,3,1,1423,568
1385,2010,8,34,3,1456,
1386,2009,3,11,4,1548,
1387,2011,3,12,7,1110,
1388,2014,1,3,7,1181,380
1389,2014,3,11,1,1333,513
1390,2011,3,12,1,1265,
1391,2010,4,16,1,1452,
1392,2012,10,41,6,1279,547
1393,2013,2,7,1,1137,475
1394,2007,6,23,7,1322,
1395,2012,9,36,4,1416,572
1396,2006,11,47,1,1537,
1397,2007,6,25,1,1667,
1398,2010,9,37,3,1579,
1399,2015,5,22,1,1181,420
1400,2010,10,42,5,1555,
1401,2008,7,28,2,1512,
1402,2012,4,14,3,1583,
1403,2006,1,5,1,1557,
1404,2006,8,35,4,1560,
1405,2012,5,18,2,1421,
1406,2011,1,3,4,1447,
1407,2009,1,5,2,1442,
1408,2014,11,45,1,1297,625
1409,2013,2,8,2,1227,477
1410,2012,2,7,4,1477,
1411,2010,6,23,6,1317,
1412,2011,6,24,4,1589,
1413,2012,10,42,5,1524,738
1414,2011,2,8,6,1284,
1415,2006,5,20,2,1566,
1416,2006,6,23,6,1301,
1417,2011,9,36,3,1249,
1418,2015,4,15,1,1231,509
1419,2013,10,40,2,1503,616
1420,2013,6,24,4,1406,534
1421,2013,7,31,2,1496,584
1422,2006,1,2,4,1660,
1423,2014,11,46,6,1207,529
1424,2008,7,31,1,1572,
1425,2015,10,42,2,1483,724
1426,2007,11,46,7,1281,
1427,2013,8,33,5,1541,678
1428,2012,8,35,4,1524,617
1429,2006,11,45,5,1586,
1430,2015,5,20,5,1533,723
1431,2006,11,45,3,1353,
1432,2014,3,10,2,1278,531
1433,2011,3,13,2,1318,
1434,2015,5,20,3,1600,655
1435,2015,2,6,6,1098,449
1436,2014,1,1,7,956,320
1437,2013,2,6,2,1343,566
1438,2008,7,28,4,1499,
1439,2012,11,44,6,916,307
1440,2010,2,5,6,1251,
1441,2012,8,35,2,1470,587
1442,2015,3,12,1,1319,529
1443,2014,7,31,3,1573,605
1444,2010,1,53,5,1427,
1445,2008,6,26,7,1251,
1446,2006,9,38,4,1630,
1447,2008,1,5,4,1518,
1448,2015,11,47,1,1409,618
1449,2009,1,3,7,1051,
1450,2015,9,39,7,1189,493
1451,2009,9,37,1,1196,
1452,2009,3,11,3,1676,
1453,2009,11,49,1,1377,
1454,2008,11,47,4,1525,
1455,2007,6,26,1,1605,
1456,2012,10,41,5,1503,593
1457,2012,11,45,2,970,514
1458,2006,11,46,5,1585,
1459,2013,7,28,6,1256,574
1460,2008,10,43,3,1478,
1461,2012,9,36,7,1249,464
1462,2012,1,1,4,1425,
1463,2012,3,10,7,1097,
1464,2014,12,1,1,1141,411
1465,2014,5,20,1,1439,581
1466,2012,4,14,6,1306,
1467,2011,5,17,7,1135,
1468,2014,5,21,2,1476,650
1469,2014,11,48,3,1125,742
1470,2010,10,43,1,1479,
1471,2013,7,31,1,1419,597
1472,2010,12,49,7,999,
1473,2015,5,19,5,1312,709
1474,2006,3,12,3,1614,
1475,2015,6,26,5,1466,774
1476,2006,9,36,5,1573,
1477,2011,1,3,3,1524,
1478,2009,1,5,1,1304,
1479,2014,11,45,2,1428,538
1480,2013,1,1,7,1142,393
1481,2007,11,47,7,1280,
1482,2009,12,53,2,1340,
1483,2011,11,47,7,1285,
1484,2009,6,23,2,1557,
1485,2011,2,8,5,1276,
1486,2014,10,41,3,1508,639
1487,2006,6,23,5,1629,
1488,2007,9,36,2,1741,
